Term,Filename,Freq,Group,Title,Year,Album,GroupDir,LyricsPath,bccwj_rank
live,old_19_tummy.txt,3,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
ll,old_19_tummy.txt,12,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
love,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
m,old_19_tummy.txt,6,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
made,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
maybe,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
me,old_04_memeshe.txt,2,Old,me me she,2006,RADWIMPS 4,old,lyrics/old/old_04_memeshe.txt,NA
me,old_12_25ko.txt,2,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
me,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
mighty,old_19_tummy.txt,6,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
mind,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
mine,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
mom,old_19_tummy.txt,4,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
more,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
more,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
much,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
my,old_19_tummy.txt,7,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
naked,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
never,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
never,old_19_tummy.txt,5,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
new,old_19_tummy.txt,6,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
